id,title,date_release,rating,wish_list_count,review_count,list_count,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
17103116,Dunkerque,2017-07-19,702,9794,694,9738,106,168,452,1123,2646,5974,11049,10216,4236,1048
387411,Hunger Games : L'Embrasement,2013-11-22,597,1337,395,4284,428,673,1265,2644,5548,9737,9743,4992,1417,658
480573,Donnie Darko,2001-10-26,757,10046,309,11574,95,152,347,669,1533,3850,9645,12006,6304,2604
419604,99 Francs,2007-09-26,650,2650,214,3268,486,734,1156,2091,3519,6906,10539,7749,3153,932
437798,Avengers : L'Ère d'Ultron,2015-05-01,572,2552,586,8103,434,796,1683,3285,6465,10374,8745,3923,1071,491
477749,Shrek 2,2004-05-19,654,685,79,4489,166,313,611,1486,4098,9413,11947,6572,1913,753
427367,World War Z,2013-06-21,542,1645,752,4544,652,1232,2524,4448,7265,9881,7646,2875,650,252
8195124,Edge of Tomorrow,2014-06-06,682,2425,590,7277,89,182,403,951,2885,8002,14750,8037,1739,441
464807,Toy Story 2,1999-11-24,714,1114,110,7118,74,128,272,659,2424,6500,13183,9538,3444,1388
441267,Iron Man 2,2010-04-28,539,1021,325,4748,453,970,2154,4519,8144,10727,7148,2608,556,366
481826,"I, Robot",2004-07-15,603,1354,126,3500,229,502,1042,2576,5878,11366,10469,4329,933,326
426445,Terminator,1984-10-26,730,2667,233,11481,100,119,243,598,1826,5588,13317,11030,3588,1453
413003,La Guerre des mondes,2005-06-29,594,2115,227,6268,436,947,1855,3609,6602,9861,8823,4113,1193,432
478436,La Vague,2008-01-16,718,4804,271,3813,116,137,328,681,1761,5237,12344,11886,4285,1109
470499,Le Père Noël est une ordure,1982-08-25,699,1868,133,5724,248,330,597,1060,2707,6433,11914,9320,3712,1578
484446,Les Bronzés font du ski,1979-11-22,671,1005,100,4952,359,455,815,1414,3398,7463,11549,8142,2926,1381
466657,Scarface,1983-12-09,756,7103,185,11382,83,118,271,598,1442,3765,10105,12817,6391,2451
372197,La Planète des singes : Les Origines,2011-08-03,661,1790,482,4663,194,344,721,1579,3463,8755,13230,7701,1795,539
17872831,Split,2016-09-26,680,7129,496,7596,107,172,543,1270,2962,7555,13491,9041,2693,769
437408,Lord of War,2005-09-16,735,3673,152,5141,72,90,236,580,1508,4787,12903,13195,4424,1098
409839,Monty Python : Sacré Graal !,1975-04-09,802,6700,219,9476,118,170,243,445,855,2249,6896,12831,10033,5127
482339,Insaisissables,2013-05-31,588,1999,575,4582,502,875,1654,3101,5694,9627,10008,5217,1660,648
10597693,Qu'est-ce qu'on a fait au Bon Dieu ?,2014-04-16,482,1011,465,3058,2504,2577,3460,4941,6699,7900,6448,3092,934,436
8269229,Prisoners,2013-10-20,765,6904,529,11266,50,50,143,376,965,3117,10272,15733,6770,1540
477025,Pirates des Caraïbes : Jusqu'au bout du monde,2007-05-23,598,999,143,5032,338,678,1411,2810,6068,10004,9996,5339,1569,846
386800,Matrix Reloaded,2003-05-15,624,1772,173,5588,356,735,1338,2519,5189,9139,10455,6162,2174,1004
455004,Bienvenue à Zombieland,2009-10-02,685,2127,343,7145,171,237,543,1125,2894,7757,14474,8732,2444,714
973355,Gatsby le Magnifique,2013-05-10,628,5011,517,6030,257,448,1062,2205,4821,9152,11252,6869,2242,797
381403,Will Hunting,1997-12-02,753,5423,145,6825,48,76,185,366,1147,3897,11497,13969,5849,2094
382401,Mulan,1998-06-19,727,1598,112,8057,70,131,245,606,1837,5174,11718,11667,5276,2453
455748,Le Château dans le ciel,1986-08-02,789,6126,160,11168,41,44,89,213,726,2779,9088,14070,8162,3993
431452,La Tour Montparnasse Infernale,2001-03-28,540,1148,206,3062,1796,2155,2862,3870,5794,8011,7746,4493,1569,911
1324710,Juno,2007-12-25,678,2902,224,4791,161,290,541,1261,3151,8003,14004,8842,2455,706
386027,Watchmen : Les Gardiens,2009-03-06,726,4442,445,11631,257,356,644,1259,2426,4777,9833,11618,6193,2134
431607,Retour vers le futur 3,1990-05-25,698,1622,122,7088,95,165,407,1005,2899,7894,13241,8704,3426,1792
552081,Le Pianiste,2002-09-06,781,8009,138,8421,72,77,132,274,794,2547,9138,15590,8364,2704
487010,X-Men : Le Commencement,2011-05-25,673,1607,479,9718,146,255,554,1318,3472,8325,14322,8708,2019,586
447001,Les Affranchis,1990-09-12,824,10512,221,15739,48,42,69,171,495,1773,6404,14227,11346,5160
381164,Le Labyrinthe de Pan,2006-11-01,722,6275,297,7729,166,253,602,1143,2569,5728,11200,11291,4991,1797
10449188,Les Animaux fantastiques,2016-11-16,642,3955,475,5858,155,289,827,1843,4276,9552,12934,7159,2157,801
389323,Bruce tout-puissant,2003-05-23,566,936,86,2650,464,960,1854,3972,7772,11575,9153,3235,699,311
478814,Virgin Suicides,1999-05-19,715,6789,245,7090,151,268,509,1052,2374,6002,12490,11115,4500,1612
448604,"Snowpiercer, le Transperceneige",2013-08-01,669,5296,603,9672,298,511,1035,2256,4042,8067,12005,8500,2706,692
7936742,Le Hobbit : La Bataille des cinq armées,2014-12-12,590,2789,646,6836,477,819,1772,3546,6565,9867,9464,4970,1738,898
370894,12 hommes en colère,1957-04-10,870,12214,513,12720,63,21,59,97,258,854,3665,11485,15723,8146
371581,District 9,2009-08-13,715,4374,411,6803,206,356,649,1214,2553,6130,12036,11707,4578,1026
422063,X-Men : Days of Future Past,2014-05-23,664,2330,550,11902,155,277,673,1622,3959,9135,13990,8158,2061,552
11103037,Mommy,2014-09-19,792,11726,561,11072,170,190,304,543,1039,2326,6281,11916,11286,6578
11361642,Rogue One: A Star Wars Story,2016-12-14,681,3289,730,10169,201,256,648,1390,3112,7011,13208,10522,3425,890
361104,Jurassic World,2015-06-10,531,2314,850,5286,693,1410,3040,5191,8440,10639,7457,2786,744,316
400170,Indiana Jones et la Dernière Croisade,1989-05-24,777,2253,176,11960,60,59,153,352,1148,3813,10910,14175,7140,2956
11134569,Premier contact,2016-11-10,762,6797,642,11989,82,101,280,602,1494,3974,9812,14708,7875,2117
449043,Mon voisin Totoro,1988-04-16,788,5560,267,13077,51,54,108,295,968,3147,9354,13690,8486,4909
481802,Psychose,1960-06-16,829,9104,296,15783,41,31,70,152,490,1840,7384,15268,11051,4954
475723,Jumanji,1995-12-15,668,1577,116,4939,133,268,588,1361,3766,9644,14300,8142,2271,958
449695,Sherlock Holmes,2009-12-24,653,1950,316,4378,217,405,855,1752,3967,9147,13982,8371,2188,673
477899,Mars Attacks !,1996-12-13,676,2804,162,8878,265,399,832,1651,3781,8835,13807,8753,2490,822
391814,L'Armée des 12 singes,1995-12-08,777,7502,201,14089,66,107,219,430,1088,3417,10337,15879,7821,2362
374713,Ocean's Eleven,2001-12-07,686,2181,114,6225,109,180,335,889,2863,8616,16318,9541,2337,666
439783,Les Aventuriers de l'arche perdue,1981-06-12,773,2205,183,11570,47,61,149,329,1176,3831,11957,15482,6369,2583
476704,Casino Royale,2006-11-14,697,1964,287,7008,151,244,527,1138,2971,7571,14198,10903,3464,819
10625262,Imitation Game,2014-11-14,704,6215,454,6720,62,119,282,742,2046,6520,14869,12454,4192,1085
395128,Toy Story 3,2010-06-18,751,1996,423,10696,101,140,319,719,2087,5332,11645,12711,6681,2638
413009,Pirates des Caraïbes : Le Secret du coffre maudit,2006-06-24,628,942,132,5696,232,471,929,2032,5357,11162,13352,6640,1688,789
428684,RRRrrrr !!!,2004-01-28,544,1313,198,3412,1734,2171,3030,4366,6440,8737,8655,4913,1801,881
399440,"Sleepy Hollow, la légende du cavalier sans tête",1999-11-19,710,3702,157,8440,77,108,330,879,2537,7657,15665,11124,3334,1044
422130,Les Infiltrés,2006-10-04,763,6796,257,13642,92,119,189,459,1226,3628,11456,16295,7503,2019
479385,Polisse,2011-10-19,717,4905,571,4825,261,293,509,954,1999,5229,12672,14027,5661,1430
461050,Aladdin,1992-11-11,747,1273,138,10036,86,91,226,554,1881,5458,12746,13633,5995,2592
472876,Lost in Translation,2003-10-03,720,9327,350,8415,186,351,699,1360,2810,5977,11986,12189,5744,2106
374058,Shaun of the Dead,2004-04-09,737,3406,274,10638,125,151,337,814,1921,5670,13525,13709,5329,1828
372529,Le Discours d'un roi,2010-12-16,742,7017,539,6710,62,90,209,477,1541,4840,13387,15347,5939,1530
405444,No Country for Old Men,2007-11-09,778,9213,297,12110,89,129,246,567,1250,3342,9888,16304,9115,2572
488559,Bienvenue à Gattaca,1997-10-24,770,6939,288,8669,51,61,173,439,1188,3985,11867,15920,7478,2527
11387996,Seul sur Mars,2015-10-02,682,5587,624,8939,129,234,504,1231,3141,8569,16051,10533,2709,663
434094,Spider-Man 2,2004-06-25,630,929,167,8653,266,595,1135,2653,6500,12118,11853,6071,1908,812
414626,Les Évadés,1994-09-10,808,7411,253,9805,78,66,88,226,660,2127,7759,15560,11982,5432
373560,Les Choristes,2004-03-17,585,907,110,2457,608,924,1711,3140,6774,11191,11755,5785,1545,596
9229153,Lucy,2014-07-25,466,2264,921,4868,2201,3288,4944,6548,8106,8484,6179,2990,1098,570
368376,"Le Bon, la Brute et le Truand",1966-12-23,853,9785,310,17367,55,35,72,154,525,1505,5999,13697,13899,8508
486492,Le Tombeau des lucioles,1988-04-16,825,12743,436,14629,66,83,183,309,778,2033,6321,14046,13488,7352
363161,Le Cercle des poètes disparus,1989-06-02,751,7484,226,7691,109,167,344,628,1718,4598,11657,14298,7733,3409
488421,Apocalypse Now,1979-08-15,830,15652,327,19109,77,80,167,369,1011,2562,7336,13532,11926,7618
390911,Minority Report,2002-06-21,702,3900,182,9252,101,159,359,1081,2974,8425,16348,11392,3120,820
472094,La Haine,1995-05-31,768,7475,207,7545,166,158,284,501,1276,3281,9965,16303,9445,3482
